Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
1.000000000,1.154508497,1.020000000,710.466767385,708.602411463,1000.000000000,1154.508497000,1.300000000,Borrow 95.082152000
2.000000000,1.293892626,1.040000000,796.241616000,791.078227439,1000.000000000,1293.892626000,1.300000000,Borrow 85.774848615
3.000000000,1.404508497,1.060000000,890.344493590,839.947635462,1030.118226536,1446.809802084,1.300000000,Bal sell 39.906891590 | Borrow 94.102877590
4.000000000,1.475528258,1.080000000,935.365262975,881.633533041,1030.118226536,1519.968552335,1.300000000,Borrow 45.020769385
5.000000000,1.500000000,1.100000000,950.878362956,895.736351206,1030.118226536,1545.177339804,1.300000000,Borrow 15.513099981
6.000000000,1.475528258,1.120000000,967.578401680,863.909287215,1065.594572117,1572.314902730,1.300000000,Bal sell 46.737812852 | Borrow 16.700038724
7.000000000,1.404508497,1.140000000,921.007157474,823.057318613,1065.594572117,1496.636630895,1.300000000,Repay 46.571244206
8.000000000,1.293892626,1.160000000,848.470744103,760.525927776,1065.594572117,1378.764959168,1.300000000,Repay 72.536413371
9.000000000,1.154508497,1.180000000,787.192516025,667.112301716,1107.993437782,1279.187838540,1.300000000,Bal sell 41.482924299 | Repay 61.278228078
10.000000000,1.000000000,1.200000000,681.842115558,579.320301327,1107.993437782,1107.993437782,1.300000000,Repay 105.350400467
11.000000000,0.845491503,1.220000000,576.491715092,492.967514060,1107.993437782,936.799037024,1.300000000,Repay 105.350400466
12.000000000,0.706107374,1.240000000,502.861747141,405.533667049,1157.260735679,817.150339104,1.300000000,Bal sell 28.054840599 | Repay 73.629967951
13.000000000,0.595491503,1.260000000,424.085498370,343.012834691,1157.260735679,689.138934852,1.300000000,Repay 78.776248771
14.000000000,0.524471742,1.280000000,373.508033225,303.499190046,1157.260735679,606.950553990,1.300000000,Repay 50.577465145
15.000000000,0.500000000,1.300000000,369.028481031,283.868062332,1199.342563349,599.671281675,1.300000000,Bal sell 16.185318334 | Repay 4.479552194
16.000000000,0.524471742,1.320000000,387.090020587,297.551046844,1199.342563349,629.021283454,1.300000000,Borrow 18.061539556
17.000000000,0.595491503,1.340000000,439.506649638,336.667934195,1199.342563349,714.198305661,1.300000000,Borrow 52.416629051
18.000000000,0.706107374,1.360000000,521.147463343,396.697944272,1199.342563349,846.864627933,1.300000000,Borrow 81.640813705
19.000000000,0.845491503,1.380000000,640.202859231,463.915115385,1230.443644387,1040.329646250,1.300000000,Bal sell 19.054854893 | Borrow 119.055395888
