WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
1.0,0.0,1.122327701,1.104720909,730.320822959,661.090794073,1057.419625525,1186.771337308,1.3,Bal sell 58.334766530 | Borrow 114.936207574
1.0,1.0,1.050611193,1.130485127,683.653473399,619.809977152,1057.419625525,1110.936894274,1.3,Repay 46.667349560
1.0,2.0,1.242752461,1.187562396,840.935624654,708.119108088,1099.591779495,1366.520390063,1.3,Bal sell 44.132037448 | Borrow 157.282151255
1.0,3.0,1.040306019,1.204790906,703.945813324,594.414887175,1099.591779495,1143.911946652,1.3,Repay 136.989811330
1.0,4.0,1.184906211,1.313895451,849.21005048,646.330002767,1164.620726281,1379.96633203,1.3,Bal sell 58.644850991 | Borrow 145.264237156
1.0,5.0,1.33047349,1.457714142,1010.739284415,693.372764449,1234.486331008,1642.451337174,1.3,Bal sell 63.767190202 | Borrow 161.529233935
1.0,6.0,1.349753696,1.670492834,1116.176884817,668.172207686,1343.791421504,1813.787437828,1.3,Bal sell 88.318217765 | Borrow 105.437600402
1.0,7.0,1.284174227,1.808819822,1118.823728562,618.537963237,1415.764715323,1818.088558914,1.3,Bal sell 51.097543177 | Borrow 2.646843745
1.0,8.0,1.453379419,1.97663844,1330.120298811,672.920384373,1487.185973127,2161.445485568,1.3,Bal sell 52.514503447 | Borrow 211.296570249
1.0,9.0,1.663658365,2.147820907,1593.453265228,741.8929856,1556.426253413,2589.361555996,1.3,Bal sell 53.632112024 | Borrow 263.332966417
